001  00071 | Loss: 1.099 | Acc: 51.350% | lr: 0.001000
001  00072 | Loss: 1.097 | Acc: 51.505% | lr: 0.001000
001  00073 | Loss: 1.094 | Acc: 51.641% | lr: 0.001000
001  00074 | Loss: 1.090 | Acc: 51.830% | lr: 0.001000
001  00075 | Loss: 1.086 | Acc: 52.111% | lr: 0.001000
001  00076 | Loss: 1.083 | Acc: 52.289% | lr: 0.001000
001  00077 | Loss: 1.079 | Acc: 52.543% | lr: 0.001000
001  00078 | Loss: 1.076 | Acc: 52.658% | lr: 0.001000
001  00079 | Loss: 1.073 | Acc: 52.888% | lr: 0.001000
001  00080 | Loss: 1.069 | Acc: 53.073% | lr: 0.001000
001  00081 | Loss: 1.067 | Acc: 53.202% | lr: 0.001000
001  00082 | Loss: 1.064 | Acc: 53.417% | lr: 0.001000
001  00083 | Loss: 1.062 | Acc: 53.539% | lr: 0.001000
001  00084 | Loss: 1.059 | Acc: 53.633% | lr: 0.001000
001  00085 | Loss: 1.056 | Acc: 53.836% | lr: 0.001000
001  00086 | Loss: 1.054 | Acc: 53.900% | lr: 0.001000
001  00087 | Loss: 1.051 | Acc: 54.071% | lr: 0.001000
001  00088 | Loss: 1.049 | Acc: 54.167% | lr: 0.001000
001  00089 | Loss: 1.048 | Acc: 54.260% | lr: 0.001000
001  00090 | Loss: 1.046 | Acc: 54.340% | lr: 0.001000
001  00091 | Loss: 1.043 | Acc: 54.464% | lr: 0.001000
001  00092 | Loss: 1.041 | Acc: 54.608% | lr: 0.001000
001  00093 | Loss: 1.039 | Acc: 54.648% | lr: 0.001000
001  00094 | Loss: 1.038 | Acc: 54.665% | lr: 0.001000
001  00095 | Loss: 1.035 | Acc: 54.857% | lr: 0.001000
001  00096 | Loss: 1.033 | Acc: 54.980% | lr: 0.001000
001  00097 | Loss: 1.030 | Acc: 55.122% | lr: 0.001000
001  00098 | Loss: 1.027 | Acc: 55.208% | lr: 0.001000
001  00099 | Loss: 1.025 | Acc: 55.250% | lr: 0.001000
001  00100 | Loss: 1.023 | Acc: 55.344% | lr: 0.001000
001  00101 | Loss: 1.020 | Acc: 55.487% | lr: 0.001000
001  00102 | Loss: 1.017 | Acc: 55.678% | lr: 0.001000
001  00103 | Loss: 1.015 | Acc: 55.754% | lr: 0.001000
001  00104 | Loss: 1.012 | Acc: 55.940% | lr: 0.001000
001  00105 | Loss: 1.010 | Acc: 56.071% | lr: 0.001000
001  00106 | Loss: 1.008 | Acc: 56.142% | lr: 0.001000
001  00107 | Loss: 1.005 | Acc: 56.347% | lr: 0.001000
001  00108 | Loss: 1.002 | Acc: 56.491% | lr: 0.001000
001  00109 | Loss: 0.999 | Acc: 56.661% | lr: 0.001000
001  00110 | Loss: 0.997 | Acc: 56.771% | lr: 0.001000
001  00111 | Loss: 0.994 | Acc: 56.944% | lr: 0.001000
001  00112 | Loss: 0.991 | Acc: 57.078% | lr: 0.001000
001  00113 | Loss: 0.990 | Acc: 57.144% | lr: 0.001000
001  00114 | Loss: 0.988 | Acc: 57.264% | lr: 0.001000
001  00115 | Loss: 0.986 | Acc: 57.364% | lr: 0.001000
001  00116 | Loss: 0.984 | Acc: 57.444% | lr: 0.001000
001  00117 | Loss: 0.981 | Acc: 57.577% | lr: 0.001000
001  00118 | Loss: 0.979 | Acc: 57.689% | lr: 0.001000
001  00119 | Loss: 0.977 | Acc: 57.799% | lr: 0.001000
001  00120 | Loss: 0.974 | Acc: 57.925% | lr: 0.001000
001  00121 | Loss: 0.972 | Acc: 58.032% | lr: 0.001000
001  00122 | Loss: 0.970 | Acc: 58.120% | lr: 0.001000
001  00123 | Loss: 0.967 | Acc: 58.274% | lr: 0.001000
001  00124 | Loss: 0.965 | Acc: 58.409% | lr: 0.001000
001  00125 | Loss: 0.962 | Acc: 58.517% | lr: 0.001000
001  00126 | Loss: 0.960 | Acc: 58.639% | lr: 0.001000
001  00127 | Loss: 0.958 | Acc: 58.768% | lr: 0.001000
001  00128 | Loss: 0.956 | Acc: 58.911% | lr: 0.001000
001  00129 | Loss: 0.953 | Acc: 59.004% | lr: 0.001000
001  00130 | Loss: 0.952 | Acc: 59.062% | lr: 0.001000
001  00131 | Loss: 0.949 | Acc: 59.184% | lr: 0.001000
001  00132 | Loss: 0.948 | Acc: 59.209% | lr: 0.001000
001  00133 | Loss: 0.947 | Acc: 59.297% | lr: 0.001000
001  00134 | Loss: 0.944 | Acc: 59.391% | lr: 0.001000
001  00135 | Loss: 0.942 | Acc: 59.498% | lr: 0.001000
001  00136 | Loss: 0.939 | Acc: 59.605% | lr: 0.001000
001  00137 | Loss: 0.938 | Acc: 59.702% | lr: 0.001000
001  00138 | Loss: 0.935 | Acc: 59.828% | lr: 0.001000
001  00139 | Loss: 0.933 | Acc: 59.907% | lr: 0.001000
001  00140 | Loss: 0.931 | Acc: 60.015% | lr: 0.001000
001  00141 | Loss: 0.930 | Acc: 60.055% | lr: 0.001000
001  00142 | Loss: 0.928 | Acc: 60.138% | lr: 0.001000
001  00143 | Loss: 0.926 | Acc: 60.235% | lr: 0.001000
001  00144 | Loss: 0.924 | Acc: 60.388% | lr: 0.001000
001  00145 | Loss: 0.922 | Acc: 60.496% | lr: 0.001000
001  00146 | Loss: 0.919 | Acc: 60.609% | lr: 0.001000
001  00147 | Loss: 0.917 | Acc: 60.714% | lr: 0.001000
001  00148 | Loss: 0.915 | Acc: 60.832% | lr: 0.001000
001  00149 | Loss: 0.914 | Acc: 60.940% | lr: 0.001000
002  00150 | Loss: 0.523 | Acc: 80.208% | lr: 0.001000
002  00151 | Loss: 0.572 | Acc: 76.562% | lr: 0.001000
002  00152 | Loss: 0.603 | Acc: 74.653% | lr: 0.001000
002  00153 | Loss: 0.623 | Acc: 74.219% | lr: 0.001000
